"date","avg_price"
2016-12-03,162.943695861405
2016-12-04,149.363220053025
2016-12-05,144.910385694979
2016-12-06,142.307813577692
2016-12-07,141.224230387289
2016-12-08,140.856996726678
2016-12-09,150.703683929525
2016-12-10,153.530817104999
2016-12-11,150.244069962463
2016-12-12,149.005609896433
2016-12-13,148.775710020137
2016-12-14,149.166086659843
2016-12-15,150.234007541995
2016-12-16,156.558334497695
2016-12-17,157.03441722973
2016-12-18,153.11567871381
2016-12-19,151.714141605195
2016-12-20,152.06761988012
2016-12-21,152.92099701641
2016-12-22,156.957567363385
2016-12-23,166.249536830001
2016-12-24,171.901776666892
2016-12-25,170.375948918056
2016-12-26,168.617647058824
2016-12-27,171.25173133083
2016-12-28,176.897468936954
2016-12-29,186.134713440751
2016-12-30,206.457974258534
2016-12-31,216.025713638423
2017-01-01,187.820643674376
2017-01-02,167.787820041447
2017-01-03,156.48637024473
2017-01-04,150.828172847907
2017-01-05,148.479670359657
2017-01-06,151.93490595776
2017-01-07,151.421852462394
2017-01-08,145.444855925325
2017-01-09,143.518144956918
2017-01-10,143.01152562936
2017-01-11,142.606195136717
2017-01-12,142.641195174885
2017-01-13,147.950633355029
2017-01-14,148.060793920608
2017-01-15,143.371249196698
2017-01-16,142.665183867141
2017-01-17,142.293360400059
2017-01-18,142.321829974749
2017-01-19,142.424145087962
2017-01-20,147.6440819126
2017-01-21,147.841357692119
2017-01-22,143.256094582051
2017-01-23,142.354174852652
2017-01-24,142.320530451866
2017-01-25,142.046352732993
2017-01-26,142.285076311528
2017-01-27,147.53374263022
2017-01-28,147.683429794271
2017-01-29,143.242023082145
2017-01-30,142.329236300039
2017-01-31,142.189208807162
2017-02-01,142.5384245224
2017-02-02,142.685424575905
2017-02-03,147.965847841641
2017-02-04,148.771146885121
2017-02-05,144.707665554354
2017-02-06,143.98925491305
2017-02-07,143.994528301887
2017-02-08,143.954650232864
2017-02-09,144.165469652162
2017-02-10,149.379193067462
2017-02-11,149.312703886662
2017-02-12,144.827209302326
2017-02-13,144.0868997669
2017-02-14,144.082059645853
2017-02-15,143.734840746587
2017-02-16,143.98578966858
2017-02-17,149.016775438919
2017-02-18,149.56275173929
2017-02-19,144.872293879039
2017-02-20,144.414359861592
2017-02-21,144.156877897991
2017-02-22,143.862483553378
2017-02-23,143.951180888607
2017-02-24,148.695011235955
2017-02-25,148.934827339417
2017-02-26,144.431755247879
2017-02-27,143.505031530927
2017-02-28,143.30326517885
2017-03-01,145.487550022232
2017-03-02,145.684574774855
2017-03-03,155.599645507921
2017-03-04,156.142920427488
2017-03-05,151.945577103707
2017-03-06,151.275305216426
2017-03-07,151.361945477764
2017-03-08,151.369903344073
2017-03-09,151.452030442753
2017-03-10,156.926295372679
2017-03-11,157.527560366361
2017-03-12,152.50555062167
2017-03-13,151.683899062081
2017-03-14,151.709037020468
2017-03-15,151.902625084137
2017-03-16,152.112925857327
2017-03-17,158.027808800536
2017-03-18,158.970575122604
2017-03-19,153.546076413993
2017-03-20,152.930680931684
2017-03-21,153.023882424985
2017-03-22,153.179101986313
2017-03-23,153.348781573384
2017-03-24,159.299927981829
2017-03-25,160.434931886145
2017-03-26,155.333868823399
2017-03-27,154.838226316666
2017-03-28,154.776334055195
2017-03-29,155.009676881152
2017-03-30,155.276234481991
2017-03-31,161.986333333333
2017-04-01,162.682082541103
2017-04-02,156.982947214899
2017-04-03,156.12131147541
2017-04-04,155.97602584448
2017-04-05,156.007047056149
2017-04-06,155.880359888389
2017-04-07,161.824140094689
2017-04-08,161.180231553482
2017-04-09,155.042462108064
2017-04-10,154.263222345326
2017-04-11,154.039985969835
2017-04-12,154.031348695754
2017-04-13,154.915291915292
2017-04-14,161.757720545391
2017-04-15,162.874935042439
2017-04-16,157.253266389
2017-04-17,156.423476631268
2017-04-18,156.303857701241
2017-04-19,156.348970122227
2017-04-20,156.345027920356
2017-04-21,163.09301542777
2017-04-22,163.580344172533
2017-04-23,157.403816199377
2017-04-24,157.066581377239
2017-04-25,157.061992660959
2017-04-26,157.160673595287
2017-04-27,157.179618401291
2017-04-28,163.923943193165
2017-04-29,164.317962377227
2017-04-30,158.093473939929
2017-05-01,158.405619596542
2017-05-02,157.8498229305
2017-05-03,157.745879880544
2017-05-04,157.513435806701
2017-05-05,164.373686815907
2017-05-06,164.75303421385
2017-05-07,158.508351528384
2017-05-08,158.127634021181
2017-05-09,158.094610060494
2017-05-10,158.207405390689
2017-05-11,158.353034099575
2017-05-12,165.344456521739
2017-05-13,165.563165905632
2017-05-14,159.357410932826
2017-05-15,158.749168620182
2017-05-16,158.704051033204
2017-05-17,158.590928914086
2017-05-18,158.626267029973
2017-05-19,164.968193660443
2017-05-20,165.463731974412
2017-05-21,159.32137647885
2017-05-22,158.841425870915
2017-05-23,158.570356776596
2017-05-24,158.132242561693
2017-05-25,157.924115581961
2017-05-26,164.735268863368
2017-05-27,164.679961454039
2017-05-28,159.126247798004
2017-05-29,158.944503678431
2017-05-30,158.777505722042
2017-05-31,158.775641366123
2017-06-01,161.187842138765
2017-06-02,168.283114900115
2017-06-03,168.426170009551
2017-06-04,161.482924971436
2017-06-05,161.657456808943
2017-06-06,161.693181818182
2017-06-07,161.531856834624
2017-06-08,161.007352475122
2017-06-09,167.681421525231
2017-06-10,167.952353942144
2017-06-11,161.165396965309
2017-06-12,160.965031875276
2017-06-13,161.018099262156
2017-06-14,161.080759046778
2017-06-15,161.153429147756
2017-06-16,167.926172808452
2017-06-17,168.076179718875
2017-06-18,161.520198218542
2017-06-19,161.213203395159
