"price","boro","distances"
225,"Manhattan",85.4839837617173
85,"Manhattan",183.299859124604
250,"Manhattan",667.274081502478
150,"Manhattan",622.417141678779
160,"Manhattan",252.939244548449
64,"Manhattan",384.912117403902
80,"Manhattan",189.61341140671
169,"Manhattan",225.35417147543
85,"Manhattan",176.145774202172
295,"Manhattan",346.203730485516
199,"Manhattan",432.974001962951
175,"Manhattan",436.468357042528
270,"Manhattan",180.166947829349
241,"Manhattan",212.425011539043
399,"Manhattan",385.173641069542
400,"Manhattan",340.559316099615
850,"Manhattan",144.021782187798
189,"Manhattan",924.39885738433
499,"Manhattan",362.287283551888
130,"Manhattan",435.905581338617
80,"Manhattan",337.79254418325
250,"Manhattan",77.5371512261858
311,"Manhattan",408.019215014791
185,"Manhattan",429.79268079349
130,"Manhattan",306.683393015875
265,"Manhattan",204.680932601578
125,"Manhattan",212.277195907647
80,"Manhattan",154.799840317652
85,"Manhattan",264.670802636038
199,"Manhattan",228.911248257284
175,"Manhattan",176.549430406853
425,"Manhattan",166.998700662294
144,"Manhattan",383.559051393643
100,"Manhattan",253.546588059088
140,"Manhattan",573.845704845561
121,"Manhattan",189.910013221138
172,"Manhattan",160.410458580642
80,"Manhattan",284.786374214989
250,"Manhattan",150.940686034714
99,"Manhattan",204.443291636371
200,"Manhattan",132.809423035016
85,"Manhattan",231.547733296419
420,"Manhattan",640.743369593059
191,"Manhattan",179.752830275892
499,"Manhattan",510.145779493025
395,"Manhattan",861.778270073087
185,"Manhattan",40.9664914453319
48,"Manhattan",88.5478321904333
90,"Manhattan",213.079428566663
170,"Manhattan",323.324563294315
80,"Manhattan",578.867694476152
99,"Manhattan",90.478114300179
50,"Manhattan",24.1071091409316
82,"Manhattan",348.09319866683
112,"Manhattan",509.860525575551
159,"Manhattan",584.690773281405
138,"Manhattan",128.838293414551
104,"Manhattan",130.874472014425
99,"Manhattan",250.824010155886
100,"Manhattan",168.180620738199
295,"Manhattan",134.789461003566
110,"Manhattan",118.218261932705
65,"Manhattan",257.717572190218
175,"Manhattan",182.83073445244
159,"Manhattan",408.380025591824
189,"Manhattan",48.9982283664964
195,"Manhattan",231.044577864523
225,"Manhattan",176.347049705197
149,"Manhattan",360.446556164441
120,"Manhattan",467.830735337767
375,"Manhattan",201.438884134082
160,"Manhattan",754.657647572172
160,"Manhattan",98.4318418482389
300,"Manhattan",215.620939705043
300,"Manhattan",149.026898339971
110,"Manhattan",37.4767837830805
125,"Manhattan",115.485327074657
1000,"Manhattan",259.879876919235
150,"Manhattan",352.3122181948
220,"Manhattan",138.187826473605
500,"Manhattan",199.367981040983
90,"Manhattan",224.173500226514
142,"Manhattan",195.453081430227
59,"Manhattan",153.764619753064
100,"Manhattan",345.977526721858
325,"Manhattan",529.601738904816
60,"Manhattan",248.349770869329
169,"Manhattan",349.509680535202
135,"Manhattan",184.74175788664
69,"Manhattan",309.793614531048
135,"Manhattan",308.579021014182
84,"Manhattan",316.190240201253
110,"Manhattan",141.272336835224
365,"Manhattan",373.552317755521
150,"Manhattan",220.636124466986
104,"Manhattan",174.864987555263
69,"Manhattan",497.302630860207
95,"Manhattan",290.422484248234
99,"Manhattan",257.810232842723
99,"Manhattan",100.38792120759
200,"Manhattan",291.913008114983
199,"Manhattan",217.214722474882
300,"Manhattan",282.262263465001
125,"Manhattan",215.150416920231
110,"Manhattan",250.950768252713
95,"Manhattan",209.954051945851
90,"Manhattan",260.409451423036
75,"Manhattan",185.046657499671
99,"Manhattan",965.768483111767
250,"Manhattan",308.617589027851
131,"Manhattan",86.5782156955377
150,"Manhattan",260.843754840551
125,"Manhattan",456.508758909719
145,"Manhattan",141.514842214924
109,"Manhattan",297.505437424772
395,"Manhattan",456.765672205225
149,"Manhattan",173.098436744285
149,"Manhattan",347.952511497223
150,"Manhattan",66.9489641168507
150,"Manhattan",236.39104864283
128,"Manhattan",303.619994138145
100,"Manhattan",314.568940471661
89,"Manhattan",307.951024918812
275,"Manhattan",96.51316831143
175,"Manhattan",688.243509900278
75,"Manhattan",768.585566214779
175,"Manhattan",490.944922722452
211,"Manhattan",288.802529842418
150,"Manhattan",141.948053195115
125,"Manhattan",128.479571389193
74,"Manhattan",399.122095251167
125,"Manhattan",713.588552907618
260,"Manhattan",23.0773347994621
110,"Manhattan",475.797972500106
67,"Manhattan",176.233891413179
60,"Manhattan",261.666095016648
100,"Manhattan",274.492075481426
70,"Manhattan",198.520060445619
9999,"Manhattan",504.111231375081
155,"Manhattan",464.331531809793
75,"Manhattan",763.758549283962
110,"Manhattan",352.712810878304
220,"Manhattan",94.6872821321773
198,"Manhattan",54.6854820803228
90,"Manhattan",111.28726191161
200,"Manhattan",201.401578075007
160,"Manhattan",232.483063009511
105,"Manhattan",217.162086613212
135,"Manhattan",161.850863327827
117,"Manhattan",337.766883171096
175,"Manhattan",899.26090039395
100,"Manhattan",734.809109019073
100,"Manhattan",174.925831336661
895,"Manhattan",106.133509475957
82,"Manhattan",161.550366242145
2000,"Manhattan",337.496108958298
195,"Manhattan",508.983229494177
244,"Manhattan",241.508834520946
100,"Manhattan",159.449777845234
250,"Manhattan",649.122831781343
125,"Manhattan",254.045955421247
150,"Manhattan",408.91144210071
195,"Manhattan",369.63560765179
150,"Manhattan",444.484269179791
200,"Manhattan",254.420547565045
182,"Manhattan",365.266892803229
150,"Manhattan",117.046291287548
200,"Manhattan",558.316070861026
88,"Manhattan",187.061589706006
280,"Manhattan",201.393543400131
180,"Manhattan",292.400936388697
100,"Manhattan",735.547622491984
115,"Manhattan",368.090716029772
100,"Manhattan",304.843818352037
175,"Manhattan",222.161738795147
85,"Manhattan",124.479695200064
85,"Manhattan",316.272997161575
190,"Manhattan",227.899083854162
225,"Manhattan",461.258204229423
81,"Manhattan",213.17459291786
130,"Manhattan",85.8516465934437
259,"Manhattan",86.2706277812568
198,"Manhattan",197.821544458995
295,"Manhattan",140.345308536667
150,"Manhattan",295.984655287793
45,"Manhattan",480.187632112229
110,"Manhattan",62.6810981003481
200,"Manhattan",118.24823986364
165,"Manhattan",430.979091804368
80,"Manhattan",62.9609170848221
150,"Manhattan",736.56575071773
250,"Manhattan",532.595574099882
89,"Manhattan",234.445898284108
243,"Manhattan",778.149611862181
75,"Manhattan",178.244087305065
120,"Manhattan",197.237600616642
65,"Manhattan",507.837235911299
100,"Manhattan",278.678425527352
64,"Manhattan",120.763669844974
80,"Manhattan",743.025012007014
245,"Manhattan",77.013550925301
120,"Manhattan",120.576673788728
140,"Manhattan",225.859815389491
200,"Manhattan",443.21721051528
499,"Manhattan",116.449843283661
125,"Manhattan",181.338348298642
120,"Manhattan",126.335517351666
150,"Manhattan",219.941378633626
350,"Manhattan",83.4628102479602
140,"Manhattan",733.193233330814
70,"Manhattan",98.2890739237897
220,"Manhattan",231.069755139176
200,"Manhattan",247.257020446973
374,"Manhattan",280.176536431131
85,"Manhattan",153.034694839765
150,"Manhattan",134.674485429416
130,"Manhattan",148.342894898715
122,"Manhattan",510.331867214908
225,"Manhattan",294.835878071371
155,"Manhattan",76.9391419008869
225,"Manhattan",282.768167730105
250,"Manhattan",353.936206619984
199,"Manhattan",200.860579895916
125,"Manhattan",323.314332023019
175,"Manhattan",451.708238658292
250,"Manhattan",548.620996601671
85,"Manhattan",399.585179941198
289,"Manhattan",97.3010793790487
150,"Manhattan",33.8393205271379
450,"Manhattan",278.40658798163
145,"Manhattan",397.922256961087
130,"Manhattan",216.198113915434
99,"Manhattan",268.788824912247
250,"Manhattan",325.775977474133
41,"Manhattan",344.373897769956
200,"Manhattan",389.89636426414
120,"Manhattan",211.819271380507
300,"Manhattan",668.404592979359
65,"Manhattan",32.3963275712459
150,"Manhattan",191.884127856821
200,"Manhattan",102.001210421892
40,"Manhattan",284.94696500546
400,"Manhattan",149.969746004758
199,"Manhattan",661.674636478939
100,"Manhattan",692.084608456941
285,"Manhattan",415.069070529028
200,"Manhattan",693.39021125191
80,"Manhattan",577.245973228234
145,"Manhattan",126.550512660009
280,"Manhattan",117.212966797684
219,"Manhattan",295.931686505892
95,"Manhattan",177.458629346969
300,"Manhattan",214.178714633832
200,"Manhattan",53.9770659621309
195,"Manhattan",200.851565846111
85,"Manhattan",315.428427652255
280,"Manhattan",296.443234739607
175,"Manhattan",238.220959829564
65,"Manhattan",163.082591680538
300,"Manhattan",209.157273870331
79,"Manhattan",7.72515581292618
165,"Manhattan",171.58986056133
85,"Manhattan",240.350747182233
110,"Manhattan",336.218350731282
60,"Manhattan",656.756696091382
45,"Manhattan",306.217108538242
239,"Manhattan",106.968445192709
146,"Manhattan",346.21171684953
91,"Manhattan",386.756297584457
200,"Manhattan",253.531850313819
150,"Manhattan",103.126836898648
199,"Manhattan",382.031061971328
220,"Manhattan",118.473673319805
75,"Manhattan",192.646551346528
115,"Manhattan",142.680154454616
179,"Manhattan",551.189136919436
200,"Manhattan",158.859225504276
60,"Manhattan",116.933829322541
587,"Manhattan",77.5850404093803
150,"Manhattan",75.9257091866613
60,"Manhattan",67.5315795165989
30,"Manhattan",229.102903919705
59,"Manhattan",175.362250888727
90,"Manhattan",660.361141863376
300,"Manhattan",589.796225387273
129,"Manhattan",334.0972638586
183,"Manhattan",252.038480339567
100,"Manhattan",430.629622101115
130,"Manhattan",149.72912901426
36,"Manhattan",109.325116440292
90,"Manhattan",318.341067476727
60,"Manhattan",182.268996832468
90,"Manhattan",135.640990533409
120,"Manhattan",681.976130848357
75,"Manhattan",468.62113529212
100,"Manhattan",511.503513904657
110,"Manhattan",37.7826341725696
75,"Manhattan",470.353581888681
275,"Manhattan",69.1009116604123
159,"Manhattan",329.400362909291
110,"Manhattan",150.483965781531
60,"Manhattan",105.835670660382
133,"Manhattan",368.272406099944
125,"Manhattan",167.975365492735
110,"Manhattan",396.04291599575
80,"Manhattan",187.778556211698
170,"Manhattan",307.033800683078
369,"Manhattan",119.54404383009
99,"Manhattan",337.317690984574
95,"Manhattan",250.479875802401
210,"Manhattan",331.85204947801
65,"Manhattan",311.662605561423
80,"Manhattan",647.866133211193
125,"Manhattan",288.768380597365
100,"Manhattan",384.36785619404
35,"Manhattan",41.6416385440342
218,"Manhattan",349.23326111885
85,"Manhattan",331.306633793954
180,"Manhattan",131.536869667315
50,"Manhattan",207.43026703745
49,"Manhattan",212.521188682946
140,"Manhattan",167.880759816921
45,"Manhattan",308.379664305068
95,"Manhattan",321.029431073702
300,"Manhattan",128.017288158171
225,"Manhattan",49.3180293692474
49,"Manhattan",312.206539429343
195,"Manhattan",174.503637166181
175,"Manhattan",277.76120706177
200,"Manhattan",687.505032554607
100,"Manhattan",58.4929864830444
165,"Manhattan",146.001566708472
